meeting_title,age,group,destination_or_scope,otto_delivered,relopass_holds,evidence,verdict,closed_2026_08_13,reason
IMMIGRATION CASE RESEARCH ROUTINE (Norway),2d,Immigration routine,NO,yes,partial,GCS requirement_facts_NO.json = 308 facts — DB NO ~63 facts across 4 domains,KEEP OPEN,no,Under-loaded: 63 of 308 facts — worst gap
IMMIGRATION CASE RESEARCH ROUTINE (UAE),2d,Immigration routine,AE,yes,partial,DB AE 1 entity / 11 facts; 5 named gaps incl. icp.gov.ae 404,KEEP OPEN,no,Under-loaded and gaps unresolved
IMMIGRATION CASE RESEARCH ROUTINE (Italy),2d,Immigration routine,IT,yes,no,Otto instruction was explicitly "Do NOT import"; DB IT 1 entity / 9 facts,KEEP OPEN,no,Held back deliberately — decide whether to import
IMMIGRATION CASE RESEARCH ROUTINE (Spain),2d,Immigration routine,ES,yes,partial,Otto: 13 entities / 65 facts / golden set 100% — DB ES 13 entities / 29 facts,KEEP OPEN,no,Entities all landed; 29 of 65 facts did
IMMIGRATION CASE RESEARCH ROUTINE (Germany),2d,Immigration routine,DE,yes,no,DB has ZERO DE immigration rows (only domestic_move 9 and vehicle 2),KEEP OPEN,no,Primary corridor with no immigration data at all
IMMIGRATION CASE RESEARCH ROUTINE (United Kingdom),2d,Immigration routine,GB,yes,partial,Otto: 15 routes incl. Skilled Worker / ILR — DB GB 8 entities / 8 facts,KEEP OPEN,no,Under-loaded: 8 facts for 15 routes
Relocation Service Provider Research Dataset,2d,Provider wave,21 cities,yes,yes,service_catalog_items 877 rows across 21 cities loaded 2026-08-12,CLOSE,YES,Phase 1A + 1B landed and live
Leads Routing Export And Analytics,3d,Product,Meta Insights,yes,n/a,Otto ended with an open question about the lead-forwarding hook,KEEP OPEN,no,Live question awaiting your answer
RFQ Batch Processing Setup,7/21/2026,Stale,,partial,no,AIQ-1521 RFQ risk spike still Ready for AI,CLOSE,YES,3+ weeks old — restart fresh
LinkedIn Outreach Management System,7/14/2026,Stale,,yes,n/a,LinkedIn_Outreach_Build_Spec.md committed,CLOSE,YES,Spec captured — restart fresh
Financial planning,7/5/2026,Stale,,unknown,n/a,No linked artefact,CLOSE,YES,6 weeks old
Experiment: What does paying customer really mean for ReloPass at scale?,7/1/2026,Stale,,unknown,n/a,No linked artefact,CLOSE,YES,6 weeks old
